market_id,demographic1,demographic2
Spain 2013,-19674,-0.622
Spain 2013,23952,-2.212
Spain 2013,-45341,-8.716
Spain 2013,-41193,4.366
Spain 2013,-946.42,2.002
Spain 2013,-27941,-5.25
Spain 2013,-7330.8,2.31
Spain 2013,-10708,1.504
Spain 2013,-20349,-0.984
Spain 2013,-13630,-2.566
Spain 2013,-14570,-9.184
Spain 2013,-21125,-2.136
Spain 2013,3815.2,1.526
Spain 2013,13863,-4.944
Spain 2013,11820,-6.084
Spain 2013,-39257,-1.372
Spain 2013,39820,-8.76
Spain 2013,112190,10.292
Spain 2013,-29666,8.156
Spain 2013,-30286,-2.044
Spain 2013,-33398,-6.81
Spain 2013,-25977,8.62
Spain 2013,3430.9,3.006
Spain 2013,-17713,-6.348
Spain 2013,16398,1.6
Spain 2013,-35124,0.58
Spain 2013,-53191,4.44
Spain 2013,-7559.7,-1.24
Spain 2013,-52855,0.208
Spain 2013,-63149,-8.804
Spain 2013,288550,17.818
Spain 2013,-2775.1,-7.534
Spain 2013,156850,-7.764
Spain 2013,-40777,-8.214
Spain 2013,239700,2.202
Spain 2013,8363.1,-8.846
Spain 2013,30126,-8.622
Spain 2013,-43248,-10.212
Spain 2013,-52141,4.284
Spain 2013,-27393,2.366
Spain 2013,-11956,-7.998
Spain 2013,142090,-4.25
Spain 2013,1269.2,-4.69
Spain 2013,15522,-2.496
Spain 2013,-41049,-1.984
Spain 2013,-2029.7,2.434
Spain 2013,11980,5.816
Spain 2013,-23825,-0.136
Spain 2013,9715.2,0.526
Spain 2013,-21987,15.056
Spain 2013,-10670,-8.084
Spain 2013,-46257,-3.372
Spain 2013,67820,-8.76
Spain 2013,-21908,11.292
Spain 2013,-38266,2.156
Spain 2013,-36386,6.956
Spain 2013,-47678,-0.81
Spain 2013,86433,-8.38
Spain 2013,-24669,-9.994
Spain 2013,25787,5.652
Spain 2013,5798.3,-4.4
Spain 2013,-31924,-2.42
Spain 2013,28809,-9.56
Spain 2013,-46780,-0.24
Spain 2013,-60455,5.208
Spain 2013,834850,1.196
Spain 2013,-55549,-0.182
Spain 2013,2464.9,-3.534
Spain 2013,-33655,-8.764
Spain 2013,-43277,-4.214
Spain 2013,-11597,-2.798
Spain 2013,23713,18.154
Spain 2013,6026.2,-3.622
Spain 2013,-4947.7,6.788
Spain 2013,-29141,19.284
Spain 2013,-18893,-9.634
Spain 2013,-26546,-2.998
Spain 2013,-56511,8.75
Spain 2013,140670,-2.69
Spain 2013,-27008,2.504
Spain 2013,-38849,-3.984
Spain 2013,-23230,-9.566
Spain 2013,-13070,-0.184
Spain 2013,-11015,-1.136
Spain 2013,1815.2,-8.474
Spain 2013,-18237,4.056
Spain 2013,-5780.1,-7.084
Spain 2013,-5857,-3.372
Spain 2013,-17580,1.24
Spain 2013,-40408,-7.708
Spain 2013,-16366,-1.844
Spain 2013,135410,18.956
Spain 2013,-22178,-8.81
Spain 2013,50433,-9.38
Spain 2013,6530.9,-3.994
Spain 2013,39287,-8.348
Spain 2013,-4201.7,3.6
Spain 2013,236830,-8.42
Spain 2013,-45791,8.44
Spain 2013,96640,-0.24
Spain 2013,-40935,18.208
Spain 2013,-67149,4.196
Spain 2013,-50529,11.818
Spain 2013,-13175,-3.534
Spain 2013,-27255,4.236
Spain 2013,-2577.5,-9.214
Spain 2013,71903,-5.798
Spain 2013,8153.1,-8.846
Spain 2013,-33574,6.378
Spain 2013,55352,6.788
Spain 2013,-44491,4.284
Spain 2013,91707,-3.634
Spain 2013,-23446,8.002
Spain 2013,-58111,-8.25
Spain 2013,4969.2,-7.69
Spain 2013,143990,-8.496
Spain 2013,33501,-1.984
Spain 2013,-31630,7.434
Spain 2013,-35970,7.816
Spain 2013,-8925.4,1.864
Spain 2013,5615.2,-7.474
Spain 2013,-19937,8.056
Spain 2013,-18650,3.916
Spain 2013,-43657,1.628
Spain 2013,18620,2.24
Spain 2013,33752,9.292
Spain 2013,-23966,2.156
Spain 2013,4714.4,-7.044
Spain 2013,129320,7.19
Spain 2013,-45767,-4.38
Spain 2013,153430,18.006
Spain 2013,-21213,-6.348
Spain 2013,-13802,-3.4
Spain 2013,56756,-1.42
Spain 2013,-54591,-4.56
Spain 2013,-56160,3.76
Spain 2013,-40755,-2.792
Spain 2013,-43049,-1.804
Spain 2013,75051,-3.182
Spain 2013,7424.9,-0.534
Spain 2013,-5254.7,5.236
Spain 2013,-33677,-9.214
Spain 2013,152500,5.202
Spain 2013,6013.1,-4.846
Spain 2013,8526.2,2.378
Spain 2013,-27744,-7.212
Spain 2013,6158.6,6.284
Spain 2013,-17893,-1.634
Spain 2013,4653.6,-2.998
Spain 2013,-55591,0.75
Spain 2013,91169,0.31
Spain 2013,46092,1.504
Spain 2013,-44049,12.016
Spain 2013,27770,8.434
Spain 2013,64030,-7.184
Spain 2013,-27325,-8.136
Spain 2013,-38585,-6.474
Spain 2013,29863,4.056
Spain 2013,-24480,2.916
Spain 2013,36743,6.628
Spain 2013,-15080,8.24
Spain 2013,-23708,-8.708
Spain 2013,-29066,-8.844
Spain 2013,-24186,-5.044
Spain 2013,-22078,-7.81
Spain 2013,-13667,-4.38
Spain 2013,-34569,-5.994
Spain 2013,-19463,-1.348
Spain 2013,41498,-0.4
Spain 2013,-40024,15.58
Spain 2013,-58191,14.44
Spain 2013,45440,13.76
Spain 2013,63245,2.208
Spain 2013,-31649,-1.804
Spain 2013,51851,-5.182
Spain 2013,-1975.1,-8.534
Spain 2013,-39155,-3.764
Spain 2013,-53877,8.786
Spain 2013,-24097,-5.798
Spain 2013,-43837,14.154
Spain 2013,-37374,4.378
Spain 2013,-4347.7,18.788
